headline,Sentiment,Sentiment_Score
India Draft Plan Reveals $21 Trillion Net-Zero Investment Need,Neutral,0
Climate change intensified India's heatwaves in 2024 - Lancet study,Neutral,0
India wants to lure its best minds back from the US - but it won't be easy,Neutral,0
Inside India’s Energy Transition: Tata Power’s Net Zero Strategy,Neutral,0
Protests and food poisonings test Indonesian president's first year in office,Negative,-1
"Global efforts not enough to curb temperature rise, UN says ahead of climate summit",Neutral,0
Exclusive: Climate scientists expect attempts to dim the sun by 2100,Neutral,0
How the autumn climbing season turned deadly in the Himalayas,Negative,-1
India’s climate policy must not leave farmers behind,Neutral,0
Climate study finds overheating world will add 57 superhot days a year,Neutral,0
Climate justice lets super-rich in developing world off the hook: Prize-winning historian Sunil Amrith,Neutral,0
"UPSC Key: PM opens Navi Mumbai airport, Climate models, and Ember report",Neutral,0
"Six months in 'climate hell': Relentless heat causes routine fainting episodes in textile factories, investigation shows",Negative,-1
All-Natural Geoengineering with Frank Herbert's Dune,Neutral,0
Long-term data-driven evidence reveals escalating rainfall extremes across urbanizing Himalayan foothills,Neutral,0
"Landslide hits bus in northern India, killing 15, as rescue continues",Negative,-1
Why India's monsoon is becoming more extreme—even though overall rainfall has hardly increased,Negative,-1
"UPSC Key: Chhath Puja, Cloud seeding, and 8th Pay Commission",Neutral,0
What has Climate Week NYC taught us in the lead up to COP30?,Neutral,0
Knowledge Nugget: 10 key takeaways from IUCN World Conservation Congress 2025 for UPSC,Neutral,0
US and China provoke sharp fall in global outlook for renewable power,Neutral,0
"More than 350 trekkers escape blizzard-hit Everest, hundreds still stranded",Neutral,0
Links 11/2/2025,Neutral,0
US threats cast doubt on shipping emissions deal,Negative,-1
India can grow by 7.5-8% with greater investment in renewable energy: Nicholas Stern,Positive,1
Why Nigeria Accepted GMOs,Negative,-1
"Shapeshifting 'braided river' in Tibet is the highest in the world, and is becoming increasingly unstable — Earth from space",Negative,-1
How to fight climate change without the US: a guide to global action,Neutral,0
"In One Of Her Final Appearances, Jane Goodall Encourages Attorneys To Protect The Environment",Neutral,0
Daily briefing: Nobel Prize for discovery of ‘brake’ on immune system,Neutral,0
